"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene15200",1675.44225654326,-0.331654666159053,0.0584513547779342,-5.67402872729058,1.39477726604477e-08,4.29451920215184e-05
"gene24203",880.03242086197,-0.341636158991334,0.0620832802483674,-5.50286901118305,3.73660046427623e-08,5.75249641475326e-05
"gene35426",407.728414962454,0.455512947251239,0.084470071632228,5.3925957259097,6.94470809317618e-08,6.10251227125479e-05
"gene37697",1907.91011267563,0.456147895479764,0.0849633364229529,5.36876157039114,7.92791461026929e-08,6.10251227125479e-05
"gene25701",919.769549915745,-0.309588295596333,0.0587037952332809,-5.27373561395938,1.33674443570659e-07,8.2316722350812e-05
"gene23273",1342.63260400263,-0.244520375939115,0.0470768798559896,-5.19406504184462,2.0575120472798e-07,0.000105584659892908
"gene3525",870.866530446089,-0.28234114866811,0.0551225728896998,-5.12206041675657,3.02215019226814e-07,0.000132931434885623
"gene29363",558.395153033473,-0.448989928271648,0.0889016759411648,-5.05041016964393,4.40862396266561e-07,0.000169676914763093
"gene24755",196.406396616114,-0.493664796997872,0.0994999555639535,-4.96145746196408,6.99661940204176e-07,0.000239130143931981
"gene27686",2947125.2093105,0.349611041446175,0.070755057253837,4.94114562287653,7.76648729886265e-07,0.000239130143931981
"gene25605",337.332555528467,0.36859671136442,0.074881291960092,4.92241388624629,8.54831837246484e-07,0.000239275202443811
"gene22314",871.62882164729,-0.280269975661166,0.0572887596535344,-4.8922332645384,9.96981824719088e-07,0.000255808919859173
"gene30625",833.306887370998,-0.26002273384366,0.0537731981055968,-4.83554527169914,1.32781149309168e-06,0.000314487045171483
"gene35064",648.025714781403,-0.321768959726533,0.06787038096716,-4.74093345493708,2.12735802575564e-06,0.000467866811521544
"gene14412",3291.79939904211,0.370671368000918,0.0788989096170889,4.69805438123106,2.6265150701181e-06,0.000539135993392909
"gene24286",661.579120365875,-0.240621097252777,0.051844006991721,-4.64125192505282,3.46304603797627e-06,0.000589535390099584
"gene16035",914.173629849394,-0.270207774438056,0.0582958806184762,-4.63510923192773,3.56749047025154e-06,0.000589535390099584
"gene31423",682.480725657966,0.324282159102603,0.0700165340344003,4.63150830835582,3.63011427942388e-06,0.000589535390099584
"gene24062",78.7458385516327,-0.560992819735855,0.121520777979482,-4.61643538712841,3.90387491841262e-06,NA
"gene26333",252.381430032725,0.318348579122583,0.0691035279322179,4.60683540549253,4.08843364252501e-06,0.000589535390099584
"gene27865",393.747872501059,-0.313132153994435,0.0681057616934353,-4.59773367492663,4.27111472913718e-06,0.000589535390099584
"gene41332",402.776381674692,-0.393794271958365,0.0857162553050041,-4.59416093898557,4.34493960571193e-06,0.000589535390099584
"gene32288",1097.22794355144,-0.275696001808734,0.060015964475784,-4.59371109365368,4.35432114498918e-06,0.000589535390099584
"gene15448",193.963710054808,-0.400363226832243,0.0871993881503731,-4.59135362442941,4.40380447297513e-06,0.000589535390099584
"gene27690",818.823104424156,0.391429215405449,0.0854961122768235,4.57832765702913,4.68708105737846e-06,0.000601313440652844
"gene12851",411.755010204628,-0.447131401603219,0.098810158164824,-4.52515621781887,6.0350910138306e-06,0.000735748275486968
"gene32077",1376.15218055041,-0.322929884311396,0.0715105010841336,-4.51583864489304,6.30666732521375e-06,0.000735748275486968
"gene15756",487.782252141641,-0.261763787337566,0.0580277002333921,-4.51101433082357,6.45183612801174e-06,0.000735748275486968
"gene37988",1060.93501359728,-0.29605954479173,0.0662231493360049,-4.47063523496254,7.79876117941339e-06,0.000812680292740363
"gene37505",1260.43350178313,-0.22940615707372,0.0513150681512976,-4.47054179870399,7.8021693053685e-06,0.000812680292740363
"gene29994",2160.75839774638,-0.203843613203407,0.0456293283383781,-4.46738141073966,7.91828800981191e-06,0.000812680292740363
"gene28963",17412.7394145009,0.295300994952619,0.0662415709828939,4.45794069450553,8.27507875530261e-06,0.00081377583749066
"gene22641",487.896679452123,-0.317147051045935,0.0712751743163285,-4.4496145269094,8.60245476549156e-06,0.00081377583749066
