"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene16826",55.7696067489007,0.494010505105802,0.101367051906362,4.87348202216778,1.09648250216115e-06,NA
"gene27460",742.920992586984,-0.45749775449794,0.10430681102811,-4.38607747651921,1.15413026965381e-05,0.0203896374986959
"gene31366",1623.65317279969,-0.367367519187421,0.0861536666402286,-4.26409616112476,2.00712997048105e-05,0.0203896374986959
"gene25361",70.5895207973673,-0.544099260905916,0.127807023066315,-4.25719375862153,2.070089363668e-05,0.0203896374986959
"gene18439",191.107371584911,0.44450652692311,0.104558432975255,4.25127380235611,2.1255811830801e-05,0.0203896374986959
"gene27611",502.835123364186,-0.38645415882073,0.0944511763784965,-4.09157591930971,4.2845163290007e-05,0.0292505369145019
"gene35466",1239.07996563265,0.299981156329734,0.0735898525875567,4.07639295068323,4.57396980680248e-05,0.0292505369145019
"gene32141",3110.37289673548,-0.361751143707453,0.0901617277136339,-4.01224724593149,6.01434594665879e-05,0.0329672077104711
"gene31446",1.93435904150766,-0.346942982214421,0.0873003186798243,-3.97413190995145,7.06364094762901e-05,NA
"gene40951",779.125354968617,-0.430732873845532,0.109438392984261,-3.93584794238964,8.29034547465487e-05,0.0397625694828134
"gene32102",362.669473225452,-0.40923550382865,0.105303858398971,-3.88623465512683,0.000101811097551057,0.0404184415473252
"gene30392",365.486002901646,-0.374813111974218,0.0966522856613524,-3.87795393983208,0.000105338654019612,0.0404184415473252
"gene13233",2.83890240403371,-0.308280428994393,0.0815548532308059,-3.78003781236584,0.000156804543457214,NA
"gene15599",1.8364930299706,-0.29835138280133,0.0795704827436031,-3.74952334727811,0.000177171002360023,NA
"gene35005",1350.17206997577,-0.296789796920713,0.0792350787663674,-3.74568690460733,0.000179900848873555,0.05475348268313
"gene37809",663.658314375322,-0.38619876368696,0.103227309184737,-3.74124605917813,0.000183110135698265,0.05475348268313
"gene21710",89.0048867037341,0.459944807309799,0.123473141759992,3.72505956156718,0.000195269111007761,0.05475348268313
"gene36769",387.654532978955,0.336070159673055,0.0903585201330969,3.71929685410991,0.000199778148961121,0.05475348268313
"gene392",5.21546667314674,-0.444282736635725,0.120632797214337,-3.68293488085448,0.000230564072284259,NA
"gene15310",162.775758725678,-0.451884791516575,0.123130015326289,-3.66998079484602,0.000242568692360061,0.0620490715057035
"gene28336",51.2906299386333,0.467994772435692,0.130097144397919,3.59727167419039,0.000321572563084869,NA
"gene38926",101.741195329181,-0.457759459859487,0.12769826356063,-3.58469604124372,0.000337471000397781,0.0763011520045217
"gene32935",570.595926602198,-0.413440224245804,0.115349345315198,-3.58424422016489,0.000338055664341118,0.0763011520045217
"gene24298",847.233488913463,-0.234305078181127,0.066122079829744,-3.54352250843338,0.00039481960659485,0.0841623794724689
"gene37687",1.90577004708381,-0.334686192589257,0.0945049778636219,-3.54146628204321,0.000397909711821619,NA
"gene3135",2614.68535605256,-0.387270921799819,0.109864112440764,-3.5249993213992,0.000423483876284523,0.084675780428391
"gene25232",355.033525117599,-0.380210766144264,0.108197956929353,-3.51402907166279,0.000441364505751321,0.084675780428391
"gene34728",2.33992448932751,-0.278321992453187,0.0796732435160676,-3.49329310783059,0.000477102521399014,NA
"gene33087",7.37449113862045,-0.402497999240627,0.115255245134885,-3.4922315142324,0.000479002877604598,NA
"gene30369",10.0352560938578,-0.404531668285894,0.116904511732963,-3.4603597610496,0.000539454140938273,NA
"gene23203",217.692934765574,0.414626870820827,0.120133302266821,3.45138993931859,0.000557707167830879,0.0944393564484907
"gene33478",788.209039328749,0.300116042604708,0.0869927786779349,3.449896039254,0.000560802473347133,0.0944393564484907
"gene20767",118.4756959867,0.361204132660843,0.104777040924453,3.4473595500877,0.000566094656845266,0.0944393564484907
"gene12398",265.776442317265,0.359691982253656,0.105533909156153,3.40830719841373,0.000653672599362527,0.104505906823084
