"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene16826",53.8261310963564,5.25102222256974,0.646472086363442,8.12258152104909,4.563707593474e-16,7.56662718997988e-12
"gene15599",0.950397586145845,-3.48726674259649,0.855536131634652,-4.07611860405411,4.57936679295394e-05,0.209717936171164
"gene31366",1445.49936928674,-0.415283500373638,0.102173931676843,-4.06447607093268,4.81404772722931e-05,0.209717936171164
"gene32141",2585.90447852865,-0.416214688107885,0.105613406649053,-3.94092664287351,8.11674476456853e-05,0.209717936171164
"gene25361",69.6509746722691,-0.849492066169663,0.215802070181697,-3.93644076469898,8.26990212628046e-05,0.209717936171164
"gene31446",1.38835296892785,-3.17480721043157,0.823738687044381,-3.8541436263276,0.000116135408390663,0.209717936171164
"gene392",4.0227588508594,-1.50531420474792,0.391648579218533,-3.84353291348972,0.000121275725892038,0.209717936171164
"gene13233",3.46476131010557,-3.37616345337162,0.880090147447093,-3.83615640189243,0.000124974836569859,0.209717936171164
"gene40951",704.515013770298,-0.550873747662496,0.143808754249676,-3.83059953850992,0.000127831407768991,0.209717936171164
"gene32935",490.093632611953,-0.550039610855059,0.145364120736066,-3.78387464575081,0.00015440561295457,0.209717936171164
"gene30392",317.447949635093,-0.444850421687001,0.117738032185031,-3.7783069194489,0.000157898204814984,0.209717936171164
"gene24856",1.29272062869217,3.42961485289145,0.908133321267545,3.77655435889579,0.000159012868129619,0.209717936171164
"gene18002",0.741256770094977,-5.04716389777163,1.33941306908267,-3.76819072045362,0.000164435052486437,0.209717936171164
"gene21444",1.94292558847232,3.13908915712691,0.850487970082542,3.69092717069502,0.000223438111553461,0.250073421311613
"gene32102",315.842427925022,-0.508265151967517,0.138155716536444,-3.67892957823026,0.000234214923735542,0.250073421311613
"gene27611",435.540378550127,-0.451416221895041,0.12295833564954,-3.67129417871824,0.000241325376416514,0.250073421311613
"gene33087",6.33273877769813,-1.59066293995739,0.440266237027686,-3.61295690238758,0.000302725034851261,0.28209848983431
"gene25232",307.209836662237,-0.481593323042069,0.133657715578606,-3.60318385629475,0.000314343016275894,0.28209848983431
"gene35466",1080.44818878792,0.327850897716745,0.0911735573787041,3.59589893322867,0.000323273299568871,0.28209848983431
"gene27460",767.783631369214,-0.563458952120587,0.157937576427874,-3.56760541009002,0.000360258470236463,0.298654271826028
"gene38926",82.3388008026187,-0.713822144663912,0.20204991799254,-3.53289994747867,0.00041102799429482,0.312982532320785
"gene22431",0.746970147588958,4.48809316825803,1.27401614595071,3.52279143598206,0.000427027260126517,0.312982532320785
"gene35005",1108.03420559723,-0.328063159812383,0.0933523322680564,-3.51424706637609,0.000441002430677581,0.312982532320785
"gene33556",1.57037667781447,-2.73132492124659,0.78038953839554,-3.49995071289925,0.000465344189491045,0.312982532320785
"gene18439",159.852516126196,0.552138920265231,0.157925260127249,3.4962039626868,0.000471927823161617,0.312982532320785
"gene37809",546.975637099427,-0.474590594984434,0.136519023876907,-3.47636967733048,0.000508251176586082,0.324107865684509
"gene34728",1.80823152922869,-3.10171875400116,0.896778953215655,-3.45873277119079,0.000542723083469137,0.325269408391677
"gene22034",1.65928550706426,-2.68985408336696,0.778430840268801,-3.45548241952762,0.000549309012965437,0.325269408391677
"gene11823",4.54248668784331,-2.87372337182321,0.837678320925153,-3.43058104768594,0.000602290019428425,0.344343742142183
"gene21114",0.863069574129309,-4.13610967468492,1.22301711910652,-3.38189025326691,0.000719888986421901,0.397827629036646
"gene37697",1907.91011267563,0.775409241967186,0.229894377721234,3.37289345504323,0.000743827291926178,0.397827629036646
"gene21710",76.0985486090487,0.674265246393456,0.20134937557312,3.34873274115815,0.000811820640721531,0.420624569473843
"gene30084",0.56183651257575,3.69408587063906,1.11373889956431,3.31683294180006,0.00091044037702231,0.424188271902065
"gene30460",1.43016900104497,2.9586761048586,0.892627983687522,3.31456794871707,0.000917848692231872,0.424188271902065
"gene16944",1.75151639549976,4.27571661923669,1.29266876569227,3.30766607248138,0.000940769131706787,0.424188271902065
"gene12398",240.662708188747,0.447660331598955,0.135495629057934,3.30387286078098,0.000953590678126204,0.424188271902065
"gene40839",269.110984711725,-0.523527175238961,0.158974891740297,-3.29314377577435,0.000990737975907734,0.424188271902065
"gene37687",1.6887498964904,-2.33595107329149,0.710799839402436,-3.28636972576599,0.0010148770559068,0.424188271902065
"gene18106",2799.91635263479,-0.545366562626402,0.166040478141246,-3.28453982264778,0.00102149061388279,0.424188271902065
"gene18192",0.65379710732929,-4.71372536420597,1.43543666934173,-3.28382677193807,0.00102407847427024,0.424188271902065
"gene25994",1.02232769512766,-3.36754734437398,1.02761378680594,-3.27705543426103,0.00104895772907025,0.424188271902065
"gene16899",107.269744513875,0.543320369079504,0.166618384497425,3.26086686483209,0.0011107217861471,0.438470647959976
"gene10162",12.739445345976,1.61569468346622,0.497929415968375,3.24482673979807,0.001175221053922,0.453143373814574
"gene34921",1.77659994299052,-4.34871056310096,1.34570270191207,-3.23155371310618,0.0012311918184589,0.455760918366633
"gene36769",327.144612854526,0.388868268167151,0.120466008019423,3.2280331569089,0.00124644525719278,0.455760918366633
"gene35100",131.087306608416,-0.501332435216727,0.155903733497495,-3.21565381386316,0.0013014772827862,0.455760918366633
"gene41017",18.1241507675947,2.20596007571499,0.686524056579552,3.21323055554044,0.00131250883973698,0.455760918366633
"gene30894",5.22592611418862,-2.15630572460032,0.671387658284615,-3.21171486844076,0.00131945259840762,0.455760918366633
"gene16670",2471.88279432214,-0.294996341343576,0.0922985057819728,-3.19611177715504,0.00139293137952663,0.471322495358194
"gene15926",6.37185783591105,-1.26454598742831,0.396983795102591,-3.18538439862895,0.00144561847093424,0.479367084961794
"gene13821",0.831380322300938,-4.19632937702663,1.32325218584525,-3.17122421705742,0.00151797927259801,0.488115274212644
"gene15310",124.555897521372,-0.657355277013433,0.207536830862413,-3.16741502836779,0.00153800648929197,0.488115274212644
"gene11065",4.90472539553015,2.93323242098364,0.928737405254912,3.15830115637321,0.00158691527654661,0.488115274212644
"gene23645",0.922334089779076,4.9108829878752,1.55516993890733,3.15777900859221,0.00158976024170584,0.488115274212644
"gene10051",70.7460149942614,0.664585104173022,0.211740489127465,3.13867747690405,0.00169712128475335,0.503430094357649
"gene17984",3.15167913713489,-1.92023156338109,0.612102523863433,-3.13710773688872,0.0017062341742424,0.503430094357649
"gene197",1.76252361449912,-2.68565954220106,0.857236827231266,-3.13292599767943,0.00173073072245995,0.503430094357649
"gene2704",494.220223578326,-0.352271143193243,0.112699314748869,-3.12576118123005,0.00177345509429292,0.506963542472011
"gene35312",0.978380803840542,3.75175774013187,1.20841552310226,3.10469177895059,0.00190477400162994,0.516969956710804
"gene19732",134.297189352414,-0.538500640277584,0.173718883505802,-3.09983940381242,0.00193625596503782,0.516969956710804
"gene33478",675.029555074608,0.342970629478253,0.110660645724657,3.0993008149584,0.00193977960242854,0.516969956710804
"gene2523",1.25601316274592,-3.90316409422213,1.26070717472002,-3.09601164528071,0.00196142658120528,0.516969956710804
"gene36483",0.815133933044872,3.75073484603051,1.21164660407591,3.09556832282058,0.00196436111416048,0.516969956710804
"gene32798",0.65385764285981,-4.45375537844485,1.44223097508049,-3.08810132038406,0.00201439778570943,0.521854926360348
"gene20338",3156.85759514663,-0.305699986739714,0.0993379109033857,-3.07737483061257,0.00208832522274716,0.527446355897238
"gene38021",0.371959211424865,-5.23155551245653,1.70262361696725,-3.0726435721449,0.00212171741963535,0.527446355897238
"gene28976",281.451245227929,-0.375883928622744,0.122386656011778,-3.07128195892998,0.0021314177228658,0.527446355897238
"gene23203",227.9981560278,0.580535855609811,0.189379603646949,3.06546135080141,0.00217334464881765,0.529912562902892
"gene16687",198.661000059765,-0.553462873323813,0.181537999870776,-3.04874391982827,0.00229800274916912,0.533232772394767
"gene28336",44.6448806767359,0.789457997972838,0.259071716733456,3.04725659723429,0.00230940475727177,0.533232772394767
"gene37126",367.526615386283,-0.344285245501241,0.113030807036504,-3.04594167314095,0.00231952826601962,0.533232772394767
"gene35118",27.5883458332943,0.990669033342562,0.325311538101993,3.04529325680408,0.00232453532596747,0.533232772394767
"gene28213",216.536729868622,0.384581566407842,0.126411401587265,3.04230126063711,0.00234776793635814,0.533232772394767
"gene22557",2.59490773131744,-3.08321756086919,1.01512993446487,-3.03726395625849,0.00238736300489765,0.53324436700992
"gene33848",275.708974420212,-0.540378735034305,0.178108844822358,-3.03398034821498,0.00241350151010539,0.53324436700992
"gene37334",1.07279347618975,2.34292020813367,0.77349259772924,3.0290143887761,0.00245352997059942,0.53324436700992
"gene10285",290.003844772859,-0.375215546068055,0.124169398610129,-3.02180368325828,0.00251273452497269,0.53324436700992
"gene2941",1.62211583029817,-3.13347254311333,1.03831660752625,-3.01783918354028,0.00254583965219449,0.53324436700992
"gene26609",243.158141531492,0.368827044863733,0.122385841756424,3.01364144389989,0.00258132682313388,0.53324436700992
"gene14616",222.553120908429,0.520367795105959,0.17271150997614,3.01293060999725,0.00258738071451617,0.53324436700992
"gene33066",76.2836936600393,0.592734310713076,0.1972556851025,3.00490356161381,0.00265665068042952,0.53324436700992
"gene25111",2.65838246716833,-1.85843279520875,0.618574410273655,-3.00438033701813,0.00266122419941028,0.53324436700992
"gene2362",1.14105390826916,3.48127460238314,1.15909472508411,3.00344271011199,0.0026694380254417,0.53324436700992
"gene33869",4.22928180443239,2.24853811706631,0.750674305382807,2.99535777492699,0.00274123104667192,0.538264165457697
"gene19270",341.857036985829,0.291145882112948,0.0973736257059415,2.98998707301071,0.00278989253778513,0.538264165457697
"gene14672",570.378127190539,0.350281137119174,0.117160260731706,2.98976064863245,0.00279196129248263,0.538264165457697
"gene24298",701.578116259384,-0.250639125499476,0.0841332484091507,-2.97907343694357,0.0028912147612711,0.548855479535041
"gene10298",8.49800325636486,-1.20707803845668,0.405678496809832,-2.97545481939241,0.00292554441200044,0.548855479535041
"gene17706",0.894489454608244,-3.43604308654962,1.15578196644286,-2.97291633397319,0.00294984847947584,0.548855479535041
"gene1634",1.55853772705492,1.84635066971559,0.621695271049842,2.96986442666309,0.00297931201195137,0.548855479535041
"gene22428",0.740979232920257,-3.94262477303815,1.32913217684576,-2.96631504505039,0.00301391579734067,0.549128834284706
"gene21625",0.43205250816492,-4.29501876158974,1.44965047249902,-2.96279609676231,0.003048584427275,0.549407932654559
"gene3135",2168.92919196023,-0.498026223562632,0.168526475979019,-2.95518090359069,0.00312485762085059,0.55709827262046
"gene27459",5489.0015483458,-0.414795936722837,0.140704268253817,-2.9479982510167,0.00319838874257432,0.562843760271866
"gene31795",26.6226901074564,0.963919742697989,0.327258557983024,2.94543784779493,0.00322497932604507,0.562843760271866
"gene1956",0.399117613416746,-4.24418230659976,1.44386953761402,-2.93944999602473,0.00328795320129202,0.56526349142067
"gene12357",0.446734665832405,-4.03946277410243,1.37506291503011,-2.93765669188597,0.00330703007646592,0.56526349142067
"gene10879",0.339546016378654,-4.51692313629264,1.545824389722,-2.92201570005306,0.00347774009379214,0.572881256937398
"gene39773",3.37698230031051,2.06510532922868,0.706740619792982,2.92201307154751,0.00347776944387426,0.572881256937398
"gene30369",8.837209300724,-1.50835968730356,0.51634138013849,-2.92124502378445,0.00348635518320209,0.572881256937398
"gene10975",13.3313554213553,-1.71426176524912,0.586887683633777,-2.9209366852531,0.00348980741560176,0.572881256937398
"gene2868",1739.86803469202,-0.358156073912817,0.123001312324342,-2.91180693233902,0.00359344669051283,0.577218499731968
"gene37988",1060.93501359728,-0.332063335053701,0.11406858632625,-2.91108486348696,0.00360176177022246,0.577218499731968
"gene3906",0.688416558769931,4.55494401241158,1.56556958894919,2.9094484490267,0.00362067092714865,0.577218499731968
"gene37214",4.97152815507915,1.71316980595889,0.592135358714483,2.89320639402139,0.0038133062574188,0.599310639916488
"gene1914",1.04450672734893,3.72377801344956,1.29129864518792,2.88374655028594,0.00392974892246557,0.599310639916488
"gene32672",2.07844166814126,1.47946957534024,0.513494755732461,2.88117757547473,0.00396192357896097,0.599310639916488
"gene23747",13.9178987078824,-0.936266197443615,0.325790310612209,-2.87383070320363,0.0040552627579475,0.599310639916488
"gene40278",0.571957671163359,4.62350190090111,1.60982392731504,2.8720544044916,0.00407812752674138,0.599310639916488
"gene34387",7.19258776567923,-1.69669606100587,0.590980736000849,-2.87098370157946,0.00409196622371546,0.599310639916488
"gene35315",184.573076767584,-0.389821475050027,0.135805217711513,-2.87044549258861,0.00409893858906971,0.599310639916488
"gene39323",0.46721603888094,-3.7437021742309,1.30528896170463,-2.86810222415567,0.00412942088534019,0.599310639916488
"gene20506",2.15218728448462,-1.43654967364437,0.501067912689229,-2.86697598721582,0.00414414454912104,0.599310639916488
"gene41241",381.65732006461,0.323586907753784,0.112938915181828,2.8651497779381,0.00416812044748477,0.599310639916488
"gene37356",0.853864100258655,2.87899510725065,1.00540206796091,2.86352614441071,0.00418954238031034,0.599310639916488
"gene19965",20.4757695052524,1.12296535211919,0.392806185130417,2.85882808017993,0.00425209160610283,0.599310639916488
"gene22599",1.70516219590287,-2.05622529066647,0.720065237556437,-2.85560971898092,0.00429542785247733,0.599310639916488
"gene12533",153.686029188572,0.407083276627542,0.142568850325216,2.85534515919107,0.00429900798651355,0.599310639916488
"gene21497",2.44924782223759,-2.19041272170042,0.767278028972971,-2.8547835842926,0.00430661642237282,0.599310639916488
"gene15680",151.278553542277,-0.470332281933,0.165049466301611,-2.84964436706215,0.00437681375228954,0.599310639916488
"gene28092",0.875093077948219,-2.49244717542648,0.875275752769734,-2.84761364351674,0.00440483641876855,0.599310639916488
"gene28850",0.664814215567066,-3.2963610336795,1.15997205548748,-2.84175900452551,0.00448653921699903,0.599310639916488
"gene13398",3.07304066055303,-1.84461341317607,0.649620344885672,-2.83952531305144,0.00451807103228587,0.599310639916488
"gene38803",269.918372652709,-0.405959898280761,0.14300404696633,-2.83880006819906,0.00452835201381986,0.599310639916488
"gene24109",2.58571749368573,-2.35053966829417,0.828225406190215,-2.8380434248045,0.00453910068220159,0.599310639916488
"gene38206",2.16187198155291,-1.56631311805152,0.55317594954558,-2.83149171495653,0.00463314338683454,0.599310639916488
"gene3237",199.048030339083,-0.564069272716556,0.199246405970989,-2.8310135380745,0.00464007570110317,0.599310639916488
"gene19312",4.91187305333391,-1.74925645298346,0.618205996281488,-2.82956888724026,0.0046610764482793,0.599310639916488
"gene31614",9.04417663087935,1.70989588510257,0.604492711425705,2.82864599156167,0.00467453750255747,0.599310639916488
"gene39276",1.7454095479585,2.17086963044071,0.769858618600799,2.81982896338319,0.00480492525616605,0.599310639916488
"gene21411",1.15769691999475,2.89064786486539,1.02541058305929,2.8190150488219,0.00481712596454438,0.599310639916488
"gene29859",1.19743383902257,-1.82904469767736,0.648987613733856,-2.81830447757579,0.00482780045239719,0.599310639916488
"gene30271",0.601764367177561,-2.60541049686025,0.924583624943343,-2.81792844537984,0.00483345801554525,0.599310639916488
"gene2787",72.2806303643997,0.710869221067452,0.252327133033944,2.81725239977194,0.00484364449630937,0.599310639916488
"gene32554",1.65775193177799,-2.62963957556073,0.935634760231055,-2.81054070170645,0.00494583328742718,0.604461754568423
"gene18298",56.2268910084331,-0.848428125612589,0.301959913809458,-2.80973760691944,0.00495819050791951,0.604461754568423
"gene3869",163.854811254163,0.472139596026065,0.168279379327195,2.80568895555561,0.00502091333952089,0.607640461089463
"gene20282",367.486581447089,0.362048151051418,0.129438582894682,2.79706516368461,0.00515691312529575,0.616477265500361
"gene40002",2.10137594657991,-2.3854209247323,0.85304721291809,-2.79635275587184,0.00516829553103439,0.616477265500361
"gene27923",3.86819130481062,1.3025559426804,0.466271329775135,2.79355786963907,0.00521317004182667,0.617388280667758
"gene41018",30.6325521647793,1.41318508927734,0.506499095371836,2.79010387617747,0.00526911333629686,0.619587936991503
