"","H10","H11","H13","H14","H17","H18","H19","H2","H20","H21","H22","H23","H24","H25","H26","H28","H29","H3","H30","H31","H33","H34","H35","H36","H38","H39","H4","H40","H41","H42","H6","H7","H8"
"gene27686",0.208884590250143,0.308417663157832,0.456575716675705,0.588247276876835,0.421362639064517,0.015713799368776,0.194876198737553,1.42030664872288,0.619844631370338,0.825081308798049,0.156530533005283,0.419319692908403,0.421600132783987,0.243452523259176,0.663331478110551,0.909450141907338,0.401332869464085,-0.111247930770284,0.276537809251197,0.337183859850221,1.1425198143499,1.2231502681877,0.0163324604943912,0.623656950873097,-0.0450889294450473,0.267994555900363,0.0357688744431757,0.530334905851167,0.759777767345988,0.308810551145491,-1.19304254614772,0.182504506224555,0.787333230582617
"gene37698",0.308030997745518,-0.144646088194381,0.567704143855506,1.04178703525941,0.423227258088758,0.502536664144991,0.297063730282895,1.68393339134267,0.717634561519189,0.803598009395137,0.0547395720633164,0.380765532457283,0.685111882784293,0.348876012000533,1.26826541703411,0.885888756115048,0.46697554743901,0.0564100575060888,-0.174975921391277,-0.0660023143127409,0.816543450252783,0.0490657090023273,-0.110183350614267,0.547679450180547,-0.721054465873676,0.721523153976447,-0.304638666355648,0.468118051844128,-0.0182237593355554,-0.383629036801371,-1.33758735541988,0.514381145809273,0.448665864793137
"gene37699",0.21276465670173,0.614068858377278,0.730891571023318,1.2659358044313,0.987689058969344,0.837882517799272,0.422742409233825,2.15726091575221,0.8453081273541,1.43881150972138,-0.34148575767451,0.602895630870499,0.724488268263358,0.633886401824744,1.38188457687,0.998563393602744,0.679269083751407,0.00766443900881206,0.00387592514370995,0.593743751543126,1.34157664132793,0.377137313796912,-0.245702094005768,0.595370736216576,-0.418450224976703,0.794738682621896,-0.0938749847716284,0.593578270174506,0.0643900085184963,0.109787469157472,-1.32422552686833,0.499946256033688,0.564458615891459
"gene28963",-0.241210933111912,0.135932905554763,0.0711584575548693,-0.144677775102197,0.416733919979647,0.633638147220861,1.76159841849531,-0.203954204500054,-0.523370176543224,0.11692277184452,0.296928802019365,0.5742312185896,0.244292538498581,0.154843845887054,0.232923559925016,0.0119946889638261,0.0364165522363696,0.432705291871175,0.0713039883281378,1.45616386729628,0.783363791266814,0.631294198391175,0.330158310004674,-0.27393943353843,0.79745211751151,0.596655211408529,-0.0625896406767088,0.696052705146637,0.374530257584644,0.759576073905189,-0.443684032230674,0.424921557445975,0.376417667616328
"gene36593",-0.24112800786323,-0.18563400815269,0.393909749900969,-0.215862276512287,0.208381852796368,0.422840564059635,1.03645222672237,0.61601428892571,-0.11832961812685,0.709999766353233,-0.258236138622975,0.330718995028942,0.12775006646789,0.0267262406578049,-0.168626448783006,0.713804103104011,0.0793888057700688,-0.123443341254488,0.146700636302418,1.19374797073979,1.14439684517996,1.08201921868349,0.344557619236395,-0.394882880703858,1.2925764105618,0.0551846298039101,-0.252429740975896,0.933983847956499,0.788591628689137,1.05704591930242,-0.894758882586298,0.085814563003039,0.378384481995353
"gene21713",-0.0184294098467941,-0.391472424575761,0.0301709496422891,0.523816236122539,0.255914086156246,0.079564547669648,0.867965063924559,0.471818010218817,0.318530034725347,0.495022768504523,-0.244271955850286,0.319714694418803,0.41997195997942,-0.290808322701551,0.234528519489508,0.549216717657541,0.550361415890825,0.171259742800549,0.223445879792725,0.101327717280921,0.244371555512903,0.520421266220723,0.166258292924303,0.509142081126687,0.135963539855951,0.326146366535892,-0.599389218460478,0.357851601736845,0.334086029222769,0.00783230538987623,-0.762911471272946,0.323042281209175,0.499719493670229
"gene16718",-0.14949563327852,0.678738085567587,0.293316161975882,0.354670304765491,0.367927383017872,0.304239040654642,0.31637525595165,1.77825890538468,-0.102612634471797,0.343984113019108,-0.356824893168594,0.482952959997638,0.31921401111668,0.456282425747163,-0.0021033324943983,-0.187640609140373,0.13682227558972,-0.845028264723211,0.546255403344216,1.57445455694837,1.118815970462,0.751201506775867,0.179708497228647,-0.270789035451787,0.705454642907244,0.294440508277717,-0.416088528131204,0.200957214544204,0.461218102412072,0.824279542291946,-0.976241586911362,-0.176090076753678,0.103039668226874
"gene2549",-0.314806741313917,0.748819221870067,0.117231394841106,0.058620652941467,0.400415342252865,0.470650903837457,0.897008461939098,0.727767345211385,-0.369958552241323,-0.00873898636236525,-0.953665120832395,0.210756859948718,0.352286251457275,0.242790038241631,0.00831022661919161,-0.326983232615556,-0.276397858591904,-0.0282986066361606,0.380037096044463,1.191181438549,0.963756125995988,0.771004022256221,0.386538484255589,-0.0995154524150121,0.101379835235819,0.030485114499567,0.215877817449824,0.380007810680103,0.604173312088391,0.492628056540248,-1.271513941323,-0.317465542416574,-0.0180020338943275
"gene27459",0.0731521126914469,-0.516360351974685,0.0522144330612631,0.209607161061199,0.425997306950956,0.41253527795291,0.17496274576219,0.667671733901548,0.0285092342773079,0.0668918516725925,0.159900227815048,0.0556510364499011,-0.0960458404542896,-0.307469771026473,-0.454304107101455,-0.0514456374896786,0.435016292145569,-0.837561459303777,0.0302213807187837,1.33488782536265,1.04097559377018,0.606364745056333,0.464476641601323,-0.292992270765843,0.66622251330482,0.556601497708466,-1.10209252961799,0.713831169524073,0.621548890992699,0.554683855057281,-1.35045313836389,0.202440431767338,0.0288753502851925
"gene28776",-0.094435409807574,0.274199067390748,0.16336455556188,0.318377178282046,0.109401342446404,-0.209670454371751,0.451286524929949,1.0125423584951,0.150769692470022,0.111035269994071,-0.588883833561215,0.477638487250425,0.154322093687073,-0.249030493674745,-0.473413596754903,-0.184903614529,0.104777855182986,-0.452855329655395,0.577541819595583,1.40451246729083,1.21153848030576,0.9179787294966,0.279855198156991,0.0390647393503575,0.208020977170767,0.481975419529833,-0.664598795854227,0.290374881250763,0.48056363788248,0.286900482921536,-0.932347594718525,-0.144326341537756,0.0413006770282226
"gene16631",-0.201275069280565,1.56844058592758,0.421193506084327,0.0180751319635161,0.353107935790519,0.419068596849727,0.537018265529429,1.34630763026888,-0.282303033422816,0.200884817706286,-0.577337949885102,0.392984767056595,0.534575155895778,0.18425815280352,-0.366976018446043,-0.28934088019314,-0.0897838388124007,-0.544522801667227,0.241625375373506,0.788573556233179,0.972347087569868,0.957242037025639,0.18334325786863,-0.163510852448463,0.376628820086379,0.149610117357439,-0.284078735793225,0.696176164965817,0.405668270529058,0.374927167630588,-0.875475629770841,-0.0118307981962679,-0.0512131738796937
